iter	Passed	Remaining
0	23	23098
1	40	20374
2	57	19060
3	72	18043
4	88	17664
5	104	17334
6	123	17460
7	140	17466
8	156	17223
9	173	17221
10	191	17209
11	206	16975
12	237	18005
13	267	18855
14	287	18868
15	302	18589
16	317	18365
17	335	18302
18	352	18186
19	366	17967
20	379	17703
21	395	17573
22	413	17561
23	430	17487
24	447	17449
25	462	17340
26	478	17228
27	493	17132
28	509	17045
29	526	17022
30	544	17016
31	559	16932
32	574	16834
33	590	16767
34	605	16695
35	621	16653
36	636	16555
37	651	16486
38	672	16576
39	691	16593
40	707	16546
41	723	16491
42	739	16465
43	755	16423
44	772	16384
45	787	16337
46	805	16336
47	822	16304
48	840	16320
49	857	16290
50	871	16214
51	885	16142
52	900	16096
53	916	16058
54	932	16027
55	949	16006
56	966	15981
57	980	15923
58	996	15892
59	1011	15853
60	1027	15817
61	1044	15797
62	1060	15771
63	1076	15749
64	1091	15707
65	1106	15660
66	1120	15604
67	1138	15602
68	1155	15597
69	1171	15561
70	1186	15529
71	1200	15471
72	1219	15483
73	1237	15482
74	1251	15432
75	1267	15406
76	1283	15382
77	1298	15349
78	1313	15309
79	1330	15295
80	1348	15299
81	1363	15269
82	1379	15235
83	1393	15192
84	1408	15165
85	1426	15157
86	1447	15185
87	1463	15163
88	1477	15125
89	1491	15076
90	1505	15037
91	1521	15012
92	1539	15016
93	1556	15006
94	1572	14978
95	1586	14939
96	1602	14914
97	1618	14892
98	1637	14902
99	1654	14886
100	1670	14870
101	1687	14860
102	1702	14825
103	1717	14799
104	1736	14799
105	1753	14786
106	1768	14761
107	1782	14718
108	1796	14682
109	1811	14656
110	1834	14692
111	1850	14675
112	1866	14648
113	1881	14625
114	1896	14596
115	1913	14582
116	1934	14598
117	1950	14577
118	1968	14575
119	1984	14554
120	2000	14530
121	2016	14513
122	2032	14490
123	2047	14465
124	2066	14462
125	2081	14441
126	2098	14421
127	2112	14392
128	2128	14371
129	2144	14349
130	2163	14348
131	2179	14334
132	2195	14312
133	2211	14289
134	2227	14270
135	2245	14267
136	2261	14244
137	2276	14221
138	2291	14195
139	2306	14171
140	2325	14169
141	2341	14149
142	2357	14126
143	2372	14105
144	2387	14077
145	2403	14061
146	2423	14064
147	2440	14051
148	2457	14033
149	2472	14009
150	2488	13991
151	2504	13972
152	2522	13962
153	2537	13938
154	2550	13904
155	2560	13850
156	2574	13824
157	2591	13810
158	2607	13790
159	2625	13784
160	2639	13756
161	2655	13734
162	2672	13725
163	2689	13711
164	2706	13697
165	2727	13705
166	2746	13698
167	2761	13675
168	2775	13647
169	2789	13617
170	2805	13603
171	2824	13595
172	2840	13580
173	2861	13583
174	2878	13571
175	2894	13553
176	2910	13530
177	2926	13513
178	2942	13494
179	2957	13471
180	2972	13448
181	2996	13466
182	3014	13459
183	3035	13461
184	3056	13466
185	3072	13446
186	3089	13431
187	3105	13411
188	3124	13406
189	3139	13384
190	3154	13361
191	3170	13344
192	3187	13326
193	3203	13308
194	3221	13300
195	3236	13277
196	3252	13257
197	3268	13237
198	3283	13215
199	3300	13202
200	3318	13192
201	3334	13174
202	3351	13156
203	3367	13138
204	3378	13102
205	3397	13095
206	3408	13059
207	3423	13036
208	3438	13014
209	3453	12992
210	3471	12981
211	3491	12976
212	3507	12959
213	3524	12943
214	3538	12920
215	3552	12895
216	3566	12868
217	3576	12828
218	3596	12826
219	3611	12805
220	3623	12771
221	3637	12747
222	3655	12736
223	3672	12723
224	3693	12721
225	3707	12696
226	3723	12679
227	3738	12659
228	3752	12633
229	3769	12619
230	3787	12608
231	3804	12593
232	3821	12579
233	3837	12561
234	3846	12521
235	3863	12506
236	3880	12492
237	3899	12485
238	3916	12470
239	3934	12459
240	3949	12437
241	3965	12421
242	3981	12402
243	4000	12394
244	4022	12395
245	4045	12398
246	4060	12380
247	4078	12367
248	4095	12350
249	4114	12342
250	4130	12325
251	4144	12300
252	4158	12277
253	4174	12259
254	4189	12241
255	4208	12230
256	4213	12182
257	4230	12165
258	4235	12119
259	4251	12100
260	4268	12085
261	4283	12066
262	4301	12052
263	4316	12034
264	4324	11993
265	4337	11968
266	4352	11950
267	4368	11931
268	4381	11907
269	4397	11890
270	4414	11875
271	4430	11857
272	4447	11842
273	4460	11818
274	4487	11829
275	4506	11820
276	4520	11798
277	4534	11775
278	4548	11755
279	4566	11743
280	4585	11732
281	4600	11714
282	4616	11696
283	4630	11673
284	4644	11652
285	4662	11641
286	4680	11628
287	4695	11608
288	4711	11591
289	4727	11574
290	4743	11557
291	4752	11523
292	4767	11504
293	4786	11494
294	4804	11481
295	4822	11468
296	4838	11453
297	4852	11430
298	4863	11402
299	4882	11393
300	4899	11377
301	4914	11357
302	4929	11340
303	4936	11302
304	4952	11285
305	4967	11265
306	4985	11253
307	5001	11237
308	5012	11209
309	5029	11193
310	5041	11169
311	5053	11142
312	5066	11119
313	5081	11101
314	5092	11073
315	5108	11057
316	5125	11043
317	5139	11021
318	5154	11004
319	5184	11017
320	5219	11040
321	5236	11026
322	5251	11007
323	5267	10990
324	5286	10979
325	5299	10957
326	5318	10945
327	5331	10922
328	5347	10906
329	5365	10893
330	5382	10878
331	5398	10861
332	5411	10839
333	5430	10828
334	5446	10811
335	5465	10800
336	5474	10769
337	5489	10752
338	5506	10736
339	5523	10721
340	5537	10701
341	5553	10684
342	5572	10672
343	5591	10662
344	5605	10642
345	5622	10627
346	5638	10611
347	5653	10592
348	5668	10573
349	5684	10556
350	5701	10542
351	5716	10522
352	5732	10505
353	5747	10488
354	5761	10467
355	5777	10450
356	5796	10439
357	5813	10425
358	5829	10408
359	5845	10392
360	5858	10369
361	5874	10353
362	5893	10341
363	5909	10325
364	5918	10295
365	5931	10274
366	5947	10258
367	5962	10239
368	5978	10222
369	5992	10202
370	6000	10173
371	6016	10156
372	6028	10133
373	6046	10120
374	6061	10102
375	6075	10083
376	6092	10067
377	6110	10055
378	6123	10034
379	6138	10015
380	6154	9999
381	6169	9981
382	6187	9967
383	6202	9950
384	6218	9933
385	6235	9918
386	6251	9902
387	6266	9884
388	6283	9869
389	6300	9854
390	6316	9838
391	6328	9815
392	6346	9802
393	6361	9784
394	6375	9765
395	6386	9740
396	6402	9723
397	6409	9695
398	6426	9680
399	6448	9672
400	6465	9658
401	6482	9643
402	6488	9612
403	6500	9590
404	6517	9574
405	6531	9555
406	6549	9542
407	6561	9521
408	6577	9504
409	6589	9481
410	6601	9460
411	6616	9442
412	6624	9415
413	6635	9392
414	6652	9377
415	6666	9358
416	6682	9342
417	6698	9326
418	6715	9311
419	6730	9295
420	6748	9281
421	6758	9257
422	6777	9244
423	6793	9229
424	6804	9206
425	6816	9184
426	6830	9165
427	6845	9148
428	6856	9126
429	6874	9112
430	6889	9095
431	6897	9068
432	6913	9052
433	6927	9035
434	6944	9019
435	6960	9004
436	6994	9010
437	7027	9017
438	7043	9001
439	7051	8974
440	7060	8950
441	7071	8926
442	7089	8914
443	7107	8900
444	7121	8881
445	7136	8864
446	7150	8845
447	7166	8829
448	7178	8809
449	7192	8790
450	7203	8768
451	7214	8747
452	7228	8728
453	7239	8706
454	7251	8685
455	7265	8667
456	7283	8654
457	7296	8634
458	7310	8616
459	7324	8598
460	7339	8580
461	7348	8557
462	7367	8545
463	7384	8530
464	7398	8511
465	7410	8491
466	7421	8470
467	7437	8454
468	7453	8438
469	7469	8422
470	7480	8401
471	7499	8389
472	7514	8372
473	7529	8355
474	7544	8338
475	7558	8321
476	7571	8301
477	7577	8275
478	7601	8267
479	7618	8253
480	7641	8245
481	7657	8229
482	7672	8212
483	7687	8195
484	7704	8180
485	7721	8166
486	7735	8148
487	7749	8131
488	7756	8105
489	7770	8087
490	7778	8064
491	7787	8040
492	7802	8024
493	7821	8011
494	7838	7996
495	7853	7979
496	7864	7959
497	7879	7943
498	7890	7921
499	7899	7899
500	7914	7882
501	7925	7862
502	7940	7845
503	7956	7830
504	7969	7811
505	7980	7790
506	7995	7774
507	8012	7759
508	8023	7739
509	8041	7726
510	8050	7704
511	8058	7681
512	8076	7667
513	8091	7650
514	8105	7632
515	8121	7617
516	8140	7605
517	8158	7591
518	8175	7576
519	8187	7557
520	8199	7538
521	8213	7521
522	8229	7505
523	8245	7490
524	8264	7477
525	8280	7462
526	8295	7445
527	8310	7429
528	8327	7414
529	8336	7392
530	8352	7377
531	8371	7364
532	8380	7342
533	8394	7325
534	8408	7308
535	8420	7289
536	8432	7270
537	8448	7255
538	8466	7241
539	8480	7223
540	8495	7207
541	8501	7184
542	8514	7166
543	8528	7148
544	8545	7134
545	8555	7113
546	8584	7109
547	8606	7098
548	8627	7087
549	8642	7070
550	8655	7052
551	8671	7037
552	8688	7023
553	8704	7007
554	8717	6989
555	8723	6966
556	8738	6949
557	8754	6934
558	8770	6919
559	8776	6895
560	8786	6876
561	8794	6853
562	8807	6836
563	8822	6820
564	8834	6801
565	8848	6785
566	8863	6768
567	8876	6751
568	8890	6733
569	8902	6715
570	8911	6695
571	8924	6677
572	8938	6661
573	8950	6642
574	8963	6625
575	8977	6608
576	8990	6590
577	9001	6572
578	9014	6554
579	9024	6535
580	9037	6517
581	9050	6500
582	9066	6484
583	9078	6466
584	9094	6451
585	9106	6433
586	9123	6419
587	9140	6404
588	9151	6385
589	9160	6366
590	9174	6348
591	9188	6332
592	9203	6316
593	9221	6302
594	9234	6285
595	9241	6264
596	9256	6248
597	9266	6229
598	9280	6212
599	9287	6191
600	9299	6174
601	9312	6156
602	9318	6135
603	9331	6117
604	9344	6101
605	9354	6082
606	9364	6062
607	9375	6044
608	9386	6026
609	9399	6009
610	9414	5993
611	9431	5979
612	9442	5961
613	9456	5944
614	9468	5927
615	9483	5911
616	9495	5894
617	9509	5877
618	9523	5861
619	9541	5847
620	9556	5832
621	9567	5814
622	9581	5798
623	9591	5779
624	9607	5764
625	9623	5749
626	9638	5734
627	9651	5716
628	9665	5701
629	9681	5685
630	9695	5670
631	9708	5652
632	9718	5634
633	9728	5616
634	9744	5601
635	9752	5581
636	9765	5565
637	9782	5550
638	9793	5533
639	9801	5513
640	9815	5497
641	9830	5481
642	9840	5463
643	9858	5449
644	9871	5433
645	9883	5416
646	9893	5397
647	9900	5377
648	9908	5359
649	9921	5342
650	9929	5322
651	9944	5307
652	9961	5293
653	9974	5276
654	9989	5261
655	10004	5246
656	10016	5229
657	10032	5214
658	10045	5198
659	10059	5182
660	10080	5169
661	10088	5150
662	10098	5133
663	10111	5116
664	10122	5099
665	10137	5083
666	10149	5067
667	10165	5052
668	10175	5034
669	10188	5018
670	10201	5001
671	10216	4986
672	10226	4968
673	10232	4949
674	10239	4929
675	10251	4913
676	10263	4896
677	10273	4879
678	10280	4860
679	10297	4845
680	10304	4827
681	10321	4812
682	10331	4795
683	10347	4780
684	10357	4762
685	10366	4745
686	10379	4728
687	10398	4715
688	10429	4707
689	10447	4693
690	10457	4676
691	10470	4660
692	10485	4645
693	10496	4628
694	10509	4612
695	10524	4596
696	10539	4581
697	10552	4565
698	10563	4548
699	10574	4531
700	10588	4516
701	10599	4499
702	10609	4482
703	10624	4467
704	10636	4450
705	10652	4436
706	10660	4418
707	10674	4402
708	10684	4385
709	10707	4373
710	10723	4358
711	10735	4342
712	10752	4328
713	10765	4312
714	10774	4294
715	10786	4278
716	10801	4263
717	10821	4250
718	10835	4234
719	10852	4220
720	10867	4205
721	10883	4190
722	10897	4175
723	10912	4160
724	10924	4143
725	10937	4128
726	10952	4112
727	10964	4096
728	10979	4081
729	10988	4064
730	10999	4047
731	11014	4032
732	11029	4017
733	11040	4000
734	11053	3985
735	11068	3970
736	11074	3951
737	11086	3935
738	11096	3919
739	11110	3903
740	11122	3887
741	11136	3872
742	11152	3857
743	11170	3843
744	11177	3825
745	11188	3809
746	11204	3794
747	11213	3777
748	11228	3762
749	11245	3748
750	11254	3731
751	11264	3714
752	11279	3699
753	11296	3685
754	11312	3670
755	11324	3654
756	11333	3637
757	11348	3623
758	11369	3609
759	11378	3593
760	11384	3575
761	11396	3559
762	11410	3544
763	11423	3528
764	11438	3513
765	11447	3497
766	11463	3482
767	11473	3465
768	11478	3447
